Episode_Length_minutes,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment
36.37,40.32,Saturday,Night,84.52,0.0,Neutral
66.28,50.26,Sunday,Afternoon,65.14,2.0,Negative
111.03,65.29,Tuesday,Morning,87.69,0.0,Negative
24.39,25.63,Wednesday,Evening,2.91,1.0,Negative
27.41,59.44,Saturday,Night,84.92,3.0,Neutral
96.89,86.96,Tuesday,Night,90.15,2.0,Positive
79.16,52.48,Sunday,Morning,80.66,1.0,Negative
32.46,72.41,Wednesday,Evening,90.73,3.0,Positive
,81.03,Thursday,Night,38.72,3.0,Negative
70.69,58.67,Saturday,Night,70.84,2.0,Negative
45.82,98.0,Saturday,Night,25.07,0.0,Positive
99.03,25.64,Sunday,Evening,23.03,1.0,Neutral
115.74,30.61,Wednesday,Night,16.29,3.0,Neutral
66.19,85.57,Saturday,Night,,2.0,Negative
25.58,76.84,Monday,Morning,86.89,1.0,Neutral
87.72,75.59,Monday,Evening,31.47,1.0,Positive
61.18,46.47,Thursday,Night,69.94,1.0,Positive
81.07,35.02,Wednesday,Evening,51.25,1.0,Negative
59.91,50.2,Monday,Afternoon,47.37,0.0,Neutral
48.35,80.24,Tuesday,Morning,82.5,0.0,Neutral
,62.47,Monday,Evening,,2.0,Neutral
,49.95,Wednesday,Morning,66.89,0.0,Positive
42.2,49.94,Tuesday,Afternoon,32.39,3.0,Neutral
60.09,39.82,Friday,Evening,72.11,2.0,Neutral
113.98,90.19,Tuesday,Afternoon,48.39,0.0,Positive
25.31,53.82,Monday,Afternoon,,3.0,Positive
18.9,91.45,Friday,Afternoon,45.85,0.0,Positive
118.6,52.42,Wednesday,Night,,3.0,Neutral
102.37,69.74,Saturday,Night,,0.0,Positive
,46.5,Monday,Night,42.5,1.0,Positive
117.23,64.58,Saturday,Morning,1.99,0.0,Positive
26.69,60.79,Saturday,Evening,,2.0,Neutral
107.15,30.11,Sunday,Morning,23.11,1.0,Neutral
106.1,26.9,Saturday,Afternoon,87.85,0.0,Negative
87.64,51.07,Thursday,Morning,,1.0,Neutral
78.24,62.66,Tuesday,Afternoon,94.21,0.0,Neutral
119.11,32.83,Tuesday,Night,,0.0,Negative
20.32,94.12,Thursday,Evening,,2.0,Positive
64.87,41.98,Friday,Evening,8.84,1.0,Negative
88.4,71.87,Tuesday,Evening,74.22,1.0,Neutral
113.39,59.02,Saturday,Night,55.36,1.0,Neutral
49.26,37.47,Thursday,Morning,21.69,0.0,Neutral
45.98,72.96,Sunday,Night,,0.0,Negative
77.54,54.56,Thursday,Night,82.14,2.0,Negative
45.06,83.84,Thursday,Morning,,2.0,Negative
8.386211092,53.28,Thursday,Night,,0.0,Neutral
43.5,24.96,Saturday,Afternoon,,3.0,Negative
50.97,56.31,Saturday,Evening,94.0,1.0,Neutral
23.08,75.42,Tuesday,Afternoon,49.0,2.0,Positive
,66.52,Sunday,Morning,56.35,0.0,Positive
69.52,36.62,Wednesday,Afternoon,,1.0,Neutral
71.27,58.87,Monday,Morning,40.43,2.0,Negative
,86.75,Friday,Afternoon,,3.0,Positive
45.89,62.71,Friday,Morning,19.34,0.0,Positive
44.66,64.66,Sunday,Night,41.09,0.0,Negative
43.54,41.46,Thursday,Afternoon,92.77,0.0,Negative
112.27,78.48,Saturday,Night,55.29,0.0,Positive
93.88,54.53,Wednesday,Evening,35.03,3.0,Neutral
53.76,40.46,Thursday,Evening,45.03,0.0,Negative
63.93,86.19,Wednesday,Afternoon,39.07,0.0,Positive
34.41,56.12,Tuesday,Evening,,1.0,Neutral
9.14,73.29,Friday,Night,6.99,1.0,Neutral
105.53,47.11,Monday,Night,52.81,2.0,Negative
76.12,30.49,Saturday,Evening,65.14,0.0,Neutral
117.54,57.6,Monday,Evening,46.34,2.0,Negative
116.12,60.43,Friday,Morning,56.27,0.0,Neutral
91.44,36.79,Monday,Morning,19.9,0.0,Neutral
71.58,58.28,Tuesday,Afternoon,61.52,2.0,Negative
34.97,84.58,Tuesday,Morning,92.24,1.0,Positive
7.72,45.01,Wednesday,Morning,,1.0,Positive
82.61,62.7,Friday,Evening,71.82,2.0,Negative
99.24,93.32,Friday,Evening,,0.0,Positive
83.93,60.03,Wednesday,Morning,,0.0,Negative
52.6,42.56,Sunday,Morning,83.56,2.0,Positive
33.91,63.72,Monday,Afternoon,,1.0,Neutral
98.08,61.75,Thursday,Evening,,3.0,Negative
7.53,70.51,Friday,Morning,55.45,0.0,Negative
11.1,49.54,Friday,Night,83.06,1.0,Negative
26.93,33.79,Friday,Night,57.35,0.0,Positive
63.96,45.32,Sunday,Morning,92.87,2.0,Positive
43.1,91.03,Thursday,Night,,1.0,Neutral
9.56,22.11,Thursday,Morning,83.96,3.0,Negative
70.92,67.68,Wednesday,Night,97.94,3.0,Neutral
105.46,28.12,Sunday,Morning,96.94,1.0,Negative
49.26,84.35,Thursday,Afternoon,67.89,3.0,Negative
,38.98,Sunday,Afternoon,,2.0,Negative
20.67,26.61,Wednesday,Morning,80.09,1.0,Positive
116.85,27.94,Thursday,Morning,32.89,0.0,Positive
82.53,89.27,Monday,Night,77.64,1.0,Neutral
68.32,87.99,Saturday,Evening,18.87,0.0,Positive
,82.18,Friday,Night,59.18,0.0,Neutral
77.31,58.81,Sunday,Afternoon,74.52,3.0,Neutral
43.9,50.11,Saturday,Evening,,1.0,Neutral
78.58,84.49,Wednesday,Afternoon,34.26,0.0,Negative
72.92,82.98,Thursday,Night,68.92,0.0,Negative
112.84,53.61,Sunday,Morning,64.83,3.0,Negative
93.57,76.58,Sunday,Evening,55.92,1.0,Neutral
,68.48,Monday,Morning,,0.0,Positive
12.87,28.38,Monday,Evening,66.93,0.0,Neutral
36.17,99.69,Saturday,Morning,,1.0,Neutral
,66.07,Sunday,Morning,,0.0,Positive
71.02,52.3,Sunday,Night,36.02,0.0,Positive
,33.48,Friday,Morning,43.87,0.0,Neutral
78.22,88.07,Tuesday,Night,,1.0,Negative
24.98,71.76,Friday,Afternoon,53.84,2.0,Negative
7.76,38.25,Thursday,Evening,54.35,0.0,Negative
96.57,84.2,Tuesday,Morning,,3.0,Neutral
28.98,21.74,Friday,Morning,56.4,0.0,Positive
46.44,86.22,Tuesday,Morning,1.84,0.0,Neutral
79.51,66.65,Monday,Evening,58.07,1.0,Negative
62.73,21.76,Saturday,Night,8.72,1.0,Neutral
79.01,81.64,Thursday,Afternoon,,1.0,Positive
28.73,59.98,Saturday,Night,46.98,3.0,Positive
111.23,28.39,Wednesday,Morning,92.69,1.0,Neutral
116.85,75.0,Sunday,Evening,8.32,2.0,Positive
100.65,92.27,Thursday,Morning,19.27,2.0,Positive
117.14,20.51,Thursday,Night,64.47,1.0,Neutral
72.02,96.93,Thursday,Afternoon,82.41,0.0,Neutral
,90.32,Monday,Evening,,2.0,Neutral
75.46,30.7,Monday,Evening,7.29,1.0,Positive
55.12,51.43,Saturday,Morning,28.94,0.0,Negative
7.71,30.02,Monday,Night,41.66,3.0,Negative
58.34,33.49,Wednesday,Night,93.57,3.0,Neutral
52.8,26.18,Thursday,Night,55.82,0.0,Neutral
85.54,31.57,Saturday,Morning,45.62,2.0,Negative
119.89,99.76,Saturday,Evening,98.89,0.0,Positive
107.05,87.94,Sunday,Afternoon,42.84,0.0,Positive
62.03,39.73,Wednesday,Morning,88.67,1.0,Positive
10.23,53.49,Wednesday,Morning,,3.0,Positive
110.38,76.86,Friday,Morning,59.37,0.0,Positive
,22.61,Sunday,Morning,96.94,1.0,Neutral
115.19,81.31,Thursday,Afternoon,56.03,0.0,Negative
55.67,79.99,Friday,Evening,39.06,3.0,Neutral
113.2,35.04,Monday,Morning,85.01,0.0,Positive
50.39,25.88,Thursday,Night,63.78,3.0,Negative
117.2,90.55,Monday,Morning,90.77,3.0,Neutral
67.19,22.24,Sunday,Morning,69.49,3.0,Positive
21.79,78.27,Saturday,Morning,31.24,3.0,Neutral
31.08,85.52,Friday,Night,,1.0,Positive
78.7,77.65,Sunday,Night,15.98,2.0,Neutral
37.36,93.7,Saturday,Evening,26.24,0.0,Positive
48.04,89.81,Monday,Morning,66.39,1.0,Negative
42.2,89.56,Saturday,Afternoon,16.44,2.0,Negative
,57.3,Monday,Night,98.8,2.0,Negative
,21.53,Thursday,Night,8.23,0.0,Positive
42.31,58.91,Monday,Night,,2.0,Positive
16.53,36.52,Sunday,Afternoon,,1.0,Positive
31.68,56.43,Friday,Evening,99.97,1.0,Positive
53.07,79.27,Tuesday,Evening,60.01,0.0,Neutral
,47.29,Sunday,Evening,62.34,0.0,Negative
89.99,92.63,Tuesday,Evening,56.44,0.0,Positive
59.0,39.54,Thursday,Morning,49.63,3.0,Positive
80.98,33.54,Saturday,Night,68.64,3.0,Positive
91.22,43.11,Thursday,Evening,48.79,2.0,Positive
45.49,36.41,Tuesday,Afternoon,46.73,1.0,Positive
31.71,91.42,Monday,Night,83.83,3.0,Neutral
74.79,32.59,Sunday,Evening,98.88,1.0,Negative
48.29,26.41,Monday,Evening,64.31,0.0,Negative
67.32,53.6,Monday,Morning,68.64,2.0,Negative
74.22,79.36,Saturday,Morning,50.77,1.0,Positive
72.46,56.4,Monday,Afternoon,85.71,0.0,Positive
76.65,72.85,Wednesday,Morning,95.81,0.0,Positive
87.79,48.18,Tuesday,Morning,,1.0,Negative
47.25,29.21,Thursday,Night,99.55,1.0,Neutral
96.93,36.36,Friday,Night,,3.0,Positive
105.69,66.79,Friday,Afternoon,52.47,2.0,Negative
,84.12,Monday,Afternoon,29.7,0.0,Positive
16.18,96.02,Thursday,Evening,59.52,0.0,Neutral
46.48,87.23,Saturday,Afternoon,,0.0,Neutral
,99.42,Thursday,Night,27.77,3.0,Neutral
43.25,83.6,Thursday,Afternoon,85.9,1.0,Neutral
53.02,61.58,Monday,Evening,41.21,1.0,Positive
47.02,72.99,Friday,Evening,21.38,1.0,Negative
102.59,56.47,Sunday,Afternoon,66.39,2.0,Neutral
5.67,73.13,Thursday,Morning,63.96,3.0,Positive
111.03,40.01,Friday,Evening,36.93,0.0,Neutral
101.47,94.65,Friday,Afternoon,69.17,3.0,Neutral
53.7,70.95,Monday,Morning,27.37,1.0,Negative
37.97,81.61,Wednesday,Afternoon,12.01,0.0,Neutral
,67.22,Wednesday,Night,30.33,1.0,Neutral
41.87,39.65,Saturday,Afternoon,36.37,3.0,Positive
79.39,66.22,Friday,Night,77.16,2.0,Neutral
94.89,41.25,Thursday,Night,61.57,2.0,Positive
35.19,54.4,Monday,Night,5.58,0.0,Positive
31.76,49.43,Thursday,Evening,94.22,0.0,Positive
62.77,78.38,Monday,Afternoon,4.93,1.0,Neutral
47.99,94.94,Monday,Evening,16.99,2.0,Negative
36.17,83.5,Friday,Afternoon,,1.0,Neutral
33.23,49.74,Sunday,Evening,,2.0,Positive
117.4,66.41,Saturday,Afternoon,84.91,2.0,Neutral
97.47,88.1,Wednesday,Morning,31.94,0.0,Positive
30.8,58.8,Tuesday,Afternoon,4.8,3.0,Negative
,24.29,Tuesday,Morning,87.17,0.0,Neutral
28.69,35.41,Monday,Evening,47.11,3.0,Neutral
61.67,96.17,Wednesday,Afternoon,54.21,1.0,Positive
,20.73,Saturday,Morning,9.71,3.0,Negative
118.3,47.82,Friday,Night,60.86,0.0,Negative
26.81,33.58,Tuesday,Evening,50.86,2.0,Negative
113.62,49.25,Sunday,Evening,61.07,0.0,Positive
75.0,41.19,Thursday,Morning,,1.0,Negative
44.37,20.97,Saturday,Evening,,0.0,Neutral
59.21,85.72,Monday,Morning,17.27,0.0,Negative
104.31,41.97,Saturday,Afternoon,,0.0,Negative
61.49,50.43,Saturday,Morning,,0.0,Positive
41.48,37.23,Friday,Evening,77.69,3.0,Neutral
70.79,73.59,Wednesday,Morning,,2.0,Neutral
43.89,68.29,Thursday,Morning,29.94,0.0,Negative
16.3,62.5,Thursday,Morning,18.44,0.0,Negative
36.34,76.79,Monday,Morning,,1.0,Neutral
55.03,28.99,Thursday,Night,72.29,1.0,Negative
68.82,95.92,Monday,Evening,72.82,2.0,Negative
89.06,64.8,Saturday,Afternoon,64.66,3.0,Neutral
84.56,30.42,Saturday,Night,24.64,2.0,Negative
40.69,83.53,Monday,Morning,43.38,0.0,Neutral
106.66,24.29,Thursday,Night,55.99,1.0,Neutral
22.47,27.48,Monday,Evening,62.07,0.0,Negative
29.63,39.03,Monday,Morning,56.44,1.0,Positive
10.69,40.4,Sunday,Evening,91.11,3.0,Positive
11.73,52.71,Friday,Evening,74.56,1.0,Neutral
60.49,30.48,Sunday,Morning,51.32,0.0,Negative
80.7,37.36,Saturday,Morning,21.36,0.0,Neutral
6.89,36.74,Saturday,Night,39.26,2.0,Positive
43.79,35.79,Monday,Evening,42.65,0.0,Negative
61.48,87.52,Friday,Afternoon,,1.0,Neutral
88.3,84.6,Tuesday,Morning,71.4,3.0,Negative
82.57,40.16,Monday,Night,3.04,1.0,Neutral
17.78,96.37,Monday,Evening,63.14,2.0,Neutral
,86.12,Tuesday,Night,40.72,3.0,Neutral
33.4,68.3,Friday,Evening,,3.0,Positive
,77.65,Wednesday,Night,,2.0,Negative
66.24,72.72,Sunday,Morning,72.03,1.0,Negative
90.11,76.87,Tuesday,Morning,93.17,3.0,Neutral
110.74,57.3,Sunday,Afternoon,25.87,2.0,Neutral
68.78,63.39,Monday,Evening,,1.0,Neutral
49.02,51.15,Sunday,Night,83.83,1.0,Negative
9.07,93.9,Friday,Morning,84.63,0.0,Positive
94.77,32.97,Friday,Morning,63.98,0.0,Positive
46.38,97.39,Friday,Morning,81.03,2.0,Neutral
14.96,66.11,Monday,Evening,36.74,3.0,Neutral
83.17,60.75,Thursday,Evening,60.73,1.0,Neutral
76.38,27.22,Tuesday,Morning,33.09,1.0,Negative
111.24,51.28,Saturday,Evening,,2.0,Negative
108.56,57.29,Sunday,Night,,1.0,Negative
,65.45,Thursday,Night,,0.0,Positive
72.31,31.84,Thursday,Night,15.19,1.0,Neutral
46.39,42.74,Sunday,Afternoon,55.38,3.0,Negative
18.68,61.08,Sunday,Night,44.63,1.0,Neutral
71.98,59.18,Friday,Morning,85.98,1.0,Negative
106.81,87.29,Monday,Evening,53.22,0.0,Positive
,77.64,Friday,Night,64.57,0.0,Positive
22.48,48.3,Monday,Morning,92.1,0.0,Positive
46.53,81.53,Wednesday,Afternoon,48.6,0.0,Neutral
24.84,70.45,Sunday,Night,82.39,0.0,Negative
,39.67,Tuesday,Afternoon,,1.0,Negative
106.4,98.69,Sunday,Afternoon,24.19,0.0,Neutral
,70.58,Sunday,Night,,0.0,Positive
26.04,75.35,Tuesday,Night,70.77,0.0,Negative
93.59,37.11,Tuesday,Morning,97.37,3.0,Positive
27.41,36.36,Wednesday,Morning,86.8,1.0,Negative
24.28,22.51,Saturday,Afternoon,78.24,2.0,Neutral
85.84,38.71,Monday,Afternoon,87.05,1.0,Neutral
,94.54,Sunday,Evening,12.76,1.0,Negative
114.53,48.07,Saturday,Night,13.43,3.0,Neutral
94.08,90.35,Monday,Afternoon,65.0,3.0,Negative
10.03,45.5,Sunday,Evening,30.98,1.0,Negative
106.34,82.12,Wednesday,Evening,31.12,1.0,Neutral
,25.99,Wednesday,Night,29.77,1.0,Neutral
35.8,73.23,Tuesday,Night,51.35,2.0,Neutral
37.97,42.97,Tuesday,Morning,66.94,2.0,Neutral
64.08,30.14,Saturday,Evening,,2.0,Negative
47.15,48.39,Sunday,Afternoon,68.86,2.0,Neutral
62.96,64.97,Monday,Afternoon,12.47,1.0,Negative
100.8,28.68,Wednesday,Morning,6.68,2.0,Neutral
97.05,35.14,Tuesday,Afternoon,14.17,0.0,Positive
82.19,63.11,Monday,Afternoon,15.64,1.0,Positive
51.82,82.09,Friday,Evening,,3.0,Positive
68.41,65.63,Monday,Evening,11.82,0.0,Neutral
34.76,52.56,Sunday,Evening,97.95,2.0,Negative
86.04,60.09,Saturday,Morning,,0.0,Positive
106.99,34.63,Monday,Afternoon,47.74,1.0,Negative
46.94,36.68,Wednesday,Evening,76.83,3.0,Neutral
28.63,88.12,Wednesday,Morning,,3.0,Negative
26.03,71.38,Thursday,Morning,10.23,3.0,Negative
37.07,24.17,Tuesday,Evening,48.54,0.0,Neutral
82.27,26.82,Friday,Night,,1.0,Neutral
55.41,93.41,Wednesday,Morning,75.74,3.0,Positive
113.32,28.6,Saturday,Afternoon,11.66,1.0,Negative
49.85,94.86,Monday,Night,43.17,1.0,Positive
110.43,78.26,Thursday,Afternoon,33.5,2.0,Negative
54.08,43.92,Thursday,Evening,82.45,3.0,Neutral
22.9,39.99,Thursday,Evening,49.85,1.0,Neutral
48.74,92.74,Saturday,Night,,1.0,Neutral
24.0,95.12,Tuesday,Night,,1.0,Neutral
36.5,97.7,Monday,Night,47.97,2.0,Positive
75.2,32.53,Saturday,Afternoon,,3.0,Neutral
109.25,52.89,Saturday,Morning,73.54,2.0,Positive
118.67,69.69,Friday,Afternoon,47.32,0.0,Neutral
76.35,83.13,Saturday,Afternoon,90.38,1.0,Negative
26.29,55.72,Monday,Morning,1.71,0.0,Neutral
106.99,97.64,Monday,Evening,19.51,0.0,Neutral
36.66,49.54,Wednesday,Afternoon,89.55,2.0,Negative
97.46,78.27,Friday,Night,65.97,0.0,Neutral
63.07,41.22,Wednesday,Afternoon,82.22,0.0,Neutral
81.32,39.26,Thursday,Night,14.16,0.0,Neutral
54.81,83.95,Monday,Night,95.9,2.0,Negative
114.01,78.73,Saturday,Morning,52.6,1.0,Neutral
54.63,35.22,Monday,Evening,40.21,2.0,Positive
104.55,66.61,Sunday,Morning,,3.0,Negative
,92.27,Friday,Night,,2.0,Positive
101.34,53.7,Thursday,Afternoon,1.95,2.0,Positive
73.04,67.73,Wednesday,Evening,53.96,3.0,Neutral
25.3,27.34,Monday,Morning,64.54,0.0,Positive
94.44,48.78,Thursday,Night,14.48,0.0,Neutral
45.22,49.72,Tuesday,Night,28.3,0.0,Neutral
112.97,50.38,Saturday,Morning,75.31,0.0,Positive
,26.41,Thursday,Evening,73.54,3.0,Negative
103.39,24.29,Monday,Morning,,3.0,Neutral
96.87,37.36,Monday,Afternoon,59.49,1.0,Positive
80.11,47.48,Wednesday,Evening,,1.0,Negative
102.19,54.52,Wednesday,Evening,,1.0,Negative
28.65,96.18,Saturday,Morning,,2.0,Positive
70.28,96.44,Sunday,Afternoon,5.47,1.0,Neutral
31.07,26.45,Friday,Night,97.7,2.0,Positive
79.94,38.47,Friday,Evening,,0.0,Negative
66.54,63.24,Wednesday,Evening,95.53,0.0,Neutral
28.06,93.85,Monday,Evening,92.08,3.0,Positive
98.51,84.37,Saturday,Evening,,3.0,Negative
61.54,84.8,Wednesday,Afternoon,93.03,0.0,Positive
16.97,26.47,Monday,Evening,35.32,3.0,Positive
30.9,90.2,Sunday,Afternoon,12.65,2.0,Neutral
27.45,75.55,Saturday,Night,36.81,3.0,Positive
106.17,42.28,Monday,Evening,,0.0,Neutral
,66.91,Wednesday,Morning,48.07,3.0,Positive
105.62,72.92,Friday,Night,70.95,0.0,Positive
62.73,90.98,Tuesday,Evening,5.96,2.0,Negative
58.24,33.4,Sunday,Night,92.23,1.0,Negative
16.54,76.38,Saturday,Night,,2.0,Negative
35.37,89.81,Friday,Night,,3.0,Neutral
34.44,68.92,Saturday,Morning,46.55,3.0,Positive
,46.33,Wednesday,Afternoon,26.47,2.0,Neutral
32.5,45.63,Friday,Evening,67.39,0.0,Positive
96.34,49.58,Tuesday,Night,,0.0,Negative
16.78,97.16,Tuesday,Evening,64.9,0.0,Positive
88.42,85.27,Friday,Morning,34.85,3.0,Neutral
84.57,79.42,Monday,Night,62.94,1.0,Negative
60.09,75.95,Friday,Afternoon,20.06,1.0,Negative
22.06,51.64,Monday,Morning,81.69,0.0,Neutral
111.74,84.97,Saturday,Morning,,3.0,Negative
49.13,44.94,Monday,Morning,14.08,0.0,Neutral
22.52,99.74,Tuesday,Morning,,1.0,Neutral
118.05,44.66,Friday,Night,,3.0,Positive
114.66,62.8,Monday,Night,93.69,2.0,Positive
29.48,83.97,Monday,Afternoon,82.38,3.0,Positive
29.61,80.74,Monday,Evening,,3.0,Negative
29.33,44.18,Wednesday,Morning,23.42,1.0,Negative
30.01,49.74,Thursday,Evening,16.42,0.0,Negative
,37.12,Friday,Afternoon,56.34,3.0,Neutral
94.23,92.63,Tuesday,Afternoon,75.1,1.0,Neutral
31.17,65.61,Saturday,Evening,65.91,2.0,Negative
72.25,27.49,Wednesday,Evening,74.85,1.0,Positive
49.92,78.87,Saturday,Afternoon,,0.0,Neutral
40.99,56.79,Sunday,Evening,26.42,3.0,Neutral
50.73,26.91,Friday,Morning,,0.0,Negative
68.35,72.0,Friday,Afternoon,47.57,0.0,Neutral
,42.59,Friday,Night,21.2,1.0,Neutral
108.53,43.57,Wednesday,Evening,82.93,2.0,Negative
87.07,84.65,Saturday,Evening,75.45,0.0,Neutral
49.92,84.31,Thursday,Evening,83.61,3.0,Negative
51.31,92.1,Sunday,Evening,15.47,3.0,Negative
,82.29,Saturday,Night,68.39,1.0,Negative
74.07,81.48,Saturday,Night,97.68,3.0,Negative
13.51,53.75,Wednesday,Morning,3.17,0.0,Positive
64.44,49.58,Saturday,Night,60.67,1.0,Positive
70.58,60.22,Friday,Evening,90.09,0.0,Positive
96.19,44.69,Sunday,Night,41.45,0.0,Positive
96.22,56.25,Monday,Afternoon,,2.0,Negative
6.87,50.01,Thursday,Afternoon,50.48,0.0,Neutral
116.85,91.48,Tuesday,Evening,30.9,0.0,Negative
6.74,67.71,Thursday,Evening,,1.0,Negative
94.17,94.09,Friday,Night,14.09,3.0,Negative
65.13,57.52,Thursday,Evening,56.25,0.0,Negative
70.59,55.7,Monday,Afternoon,3.94,1.0,Positive
36.51,58.74,Wednesday,Night,,3.0,Positive
8.86,39.58,Tuesday,Night,48.64,2.0,Neutral
103.14,54.51,Sunday,Morning,41.19,0.0,Negative
88.81,79.83,Wednesday,Afternoon,63.18,3.0,Neutral
65.96,63.3,Monday,Afternoon,91.39,0.0,Negative
74.93,46.85,Monday,Night,,3.0,Negative
24.0,33.68,Thursday,Night,59.11,0.0,Positive
,63.68,Saturday,Morning,97.16,3.0,Neutral
5.41,33.24,Saturday,Night,39.31,3.0,Neutral
106.62,30.26,Wednesday,Evening,93.53,1.0,Positive
91.03,39.87,Friday,Evening,50.93,1.0,Positive
56.78,67.01,Wednesday,Evening,1.47,1.0,Positive
114.98,27.33,Wednesday,Morning,,3.0,Negative
66.99,32.99,Friday,Afternoon,22.42,1.0,Positive
93.78,55.96,Monday,Evening,80.0,1.0,Negative
69.41,56.84,Monday,Evening,91.71,0.0,Neutral
34.61,85.89,Sunday,Evening,65.57,1.0,Negative
105.86,28.65,Friday,Morning,95.88,2.0,Negative
102.58,91.4,Wednesday,Afternoon,11.05,0.0,Neutral
108.79,52.48,Monday,Night,96.56,0.0,Neutral
34.61,65.69,Friday,Night,,1.0,Neutral
56.62,72.72,Sunday,Evening,95.53,0.0,Negative
101.75,88.09,Wednesday,Evening,52.58,3.0,Negative
14.1,87.27,Saturday,Evening,48.29,3.0,Negative
43.69,31.45,Tuesday,Morning,93.4,2.0,Negative
61.25,90.46,Monday,Morning,14.41,1.0,Positive
28.77,76.71,Saturday,Evening,81.11,0.0,Positive
17.88,29.35,Wednesday,Afternoon,51.26,2.0,Negative
113.65,78.29,Monday,Morning,71.1,0.0,Negative
83.25,60.65,Saturday,Evening,42.82,3.0,Positive
116.01,81.64,Monday,Night,,1.0,Negative
53.91,59.91,Sunday,Night,43.35,0.0,Positive
97.78,95.66,Tuesday,Afternoon,89.43,1.0,Negative
12.48,94.69,Monday,Afternoon,,3.0,Negative
60.08,60.67,Tuesday,Evening,50.86,1.0,Positive
65.17,54.11,Wednesday,Evening,,0.0,Positive
27.43,33.25,Saturday,Afternoon,,0.0,Negative
82.76,97.69,Tuesday,Night,88.69,3.0,Positive
28.35,59.37,Monday,Morning,44.09,0.0,Neutral
74.32,38.42,Thursday,Night,4.1,2.0,Neutral
24.65,71.46,Sunday,Night,64.68,3.0,Negative
41.47,63.37,Tuesday,Morning,86.01,2.0,Positive
5.83,40.15,Friday,Afternoon,28.84,1.0,Neutral
23.44,26.84,Thursday,Evening,47.93,1.0,Positive
6.6,58.71,Sunday,Evening,,0.0,Negative
52.27,55.63,Friday,Evening,5.44,1.0,Neutral
26.03,94.48,Wednesday,Evening,50.02,2.0,Neutral
10.38,70.68,Tuesday,Morning,,2.0,Neutral
79.6,69.69,Monday,Evening,30.77,3.0,Neutral
113.18,63.08,Friday,Night,34.92,0.0,Neutral
,89.36,Wednesday,Night,9.54,0.0,Neutral
103.21,42.85,Friday,Morning,31.9,0.0,Positive
,86.74,Wednesday,Morning,41.61,3.0,Positive
